Name:,Adam Krajewski
Email:,ak@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
None,GdHoErFeAl,amorphous,None,data from T1 in 10.1007/s12598-023-02501-y,peak magnetic entropy change,EXP,5T,None,5.1,None,J/kgK,None,10.
1016/j.intermet.2018.02.015
None,GdTbDyFeAl,amorphous,None,data from T1 in 10.1007/s12598-023-02501-y,peak magnetic entropy change,EXP,5T,None,5.96,None,J/kgK,None,10.1016/j.intermet.2014.11.004
None,(MnNiSi)60 (FeCoGe)40,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,curie temperature,EXP,5T,None,271.3,None,K,T2,10.1016/j.jallcom.2023.171483
None,(MnNiSi)58 (FeCoGe)42,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,curie temperature,EXP,5T,None,224.7,None,K,T2,10.1016/j.jallcom.2023.171483
None,(MnNiSi)55 (FeCoGe)45,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,curie temperature,EXP,5T,None,232.5,None,K,T2,10.1016/j.jallcom.2023.171483
None,(MnNiSi)53 (FeCoGe)47,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,curie temperature,EXP,5T,None,235.0,None,K,T2,10.1016/j.jallcom.2023.171483
None,(MnNi)60 Si64 (FeCo)40 Ge36,L21+C7,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure; C7 is "low-temperature" TiNiSi-type orthorhombic phase,curie temperature,EXP,5T,None,327.0,None,K,T2,10.1016/j.jallcom.2023.171483
None,(MnNi)60 Si62 (FeCo)40 Ge38,L21+C7,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure; C7 is "low-temperature" TiNiSi-type orthorhombic phase,curie temperature,EXP,5T,None,308.8,None,K,T2,10.1016/j.jallcom.2023.171483
None,(MnNi)60 Si60 (FeCo)40 Ge40,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,curie temperature,EXP,5T,None,271.1,None,K,T2,10.1016/j.jallcom.2023.171483
None,(MnNi)60 Si58 (FeCo)40 Ge42,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,curie temperature,EXP,5T,None,295.5,None,K,T2,10.1016/j.jallcom.2023.171483
None,(MnNiSi)60 (FeCoGe)40,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,peak magnetic entropy change,EXP,5T,None,44.9,None,J/kgK,T2,10.1016/j.jallcom.2023.171483
None,(MnNiSi)58 (FeCoGe)42,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,peak magnetic entropy change,EXP,5T,None,29.2,None,J/kgK,T2,10.1016/j.jallcom.2023.171483
None,(MnNiSi)55 (FeCoGe)45,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,peak magnetic entropy change,EXP,5T,None,1.9,None,J/kgK,T2,10.1016/j.jallcom.2023.171483
None,(MnNiSi)53 (FeCoGe)47,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,peak magnetic entropy change,EXP,5T,None,2.4,None,J/kgK,T2,10.1016/j.jallcom.2023.171483
None,(MnNi)60 Si64 (FeCo)40 Ge36,L21+C7,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure; C7 is "low-temperature" TiNiSi-type orthorhombic phase,peak magnetic entropy change,EXP,5T,None,55.3,None,J/kgK,T2,10.1016/j.jallcom.2023.171483
None,(MnNi)60 Si62 (FeCo)40 Ge38,L21+C7,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure; C7 is "low-temperature" TiNiSi-type orthorhombic phase,peak magnetic entropy change,EXP,5T,None,48.5,None,J/kgK,T2,10.1016/j.jallcom.2023.171483
None,(MnNi)60 Si60 (FeCo)40 Ge40,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,peak magnetic entropy change,EXP,5T,None,44.9,None,J/kgK,T2,10.1016/j.jallcom.2023.171483
None,(MnNi)60 Si58 (FeCo)40 Ge42,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,peak magnetic entropy change,EXP,5T,None,41.5,None,J/kgK,T2,10.1016/j.jallcom.2023.171483
None,(MnNiSi)60 (FeCoGe)40,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,hardness,EXP,None,298.0,5122230164.533818,338852468.0073154,Pa,F7,10.1016/j.jallcom.2023.171483
None,(MnNiSi)58 (FeCoGe)42,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,hardness,EXP,None,298.0,6038386837.294331,338852468.0073154,Pa,F7,10.1016/j.jallcom.2023.171483
None,(MnNiSi)55 (FeCoGe)45,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,hardness,EXP,None,298.0,6690991590.493599,288652102.3765978,Pa,F7,10.1016/j.jallcom.2023.171483
None,(MnNiSi)53 (FeCoGe)47,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,hardness,EXP,None,298.0,6929443327.239488,376502742.23034215,Pa,F7,10.1016/j.jallcom.2023.171483
None,(MnNi)60 Si64 (FeCo)40 Ge36,L21+C7,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure; C7 is "low-temperature" TiNiSi-type orthorhombic phase,hardness,EXP,None,298.0,4370646088.794919,362838266.38477683,Pa,F14,10.1016/j.jallcom.2023.171483
None,(MnNi)60 Si62 (FeCo)40 Ge38,L21+C7,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure; C7 is "low-temperature" TiNiSi-type orthorhombic phase,hardness,EXP,None,298.0,5417693657.505286,269536997.88582945,Pa,F14,10.1016/j.jallcom.2023.171483
None,(MnNi)60 Si60 (FeCo)40 Ge40,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,hardness,EXP,None,298.0,5127423044.397454,342104651.1627954,Pa,F14,10.1016/j.jallcom.2023.171483
None,(MnNi)60 Si58 (FeCo)40 Ge42,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,hardness,EXP,None,298.0,5013388160.676526,238436575.052857,Pa,F14,10.1016/j.jallcom.2023.171483
None,(MnNiSi)60 (FeCoGe)40,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,UCS,EXP,None,298.0,383000000.0,None,Pa,F7b,10.1016/j.jallcom.2023.171483
None,(MnNiSi)58 (FeCoGe)42,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,UCS,EXP,None,298.0,321000000.0,None,Pa,F7b,10.1016/j.jallcom.2023.171483
None,(MnNi)60 Si62 (FeCo)40 Ge38,L21+C7,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure; C7 is "low-temperature" TiNiSi-type orthorhombic phase,UCS,EXP,None,298.0,267000000.0,None,Pa,F14b,10.1016/j.jallcom.2023.171483
None,(MnNiSi)60 (FeCoGe)40,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,compressive ductility,EXP,None,298.0,12.6,None,%,F7b,10.1016/j.jallcom.2023.171483
None,(MnNiSi)58 (FeCoGe)42,L21,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure,compressive ductility,EXP,None,298.0,11.5,None,%,F7b,10.1016/j.jallcom.2023.171483
None,(MnNi)60 Si62 (FeCo)40 Ge38,L21+C7,AAM+A+WQ,annealed at 1023K for 72h and water quenched; Mn evaporation loss compensated; L21 is Ni2In-type hexagonal structure; C7 is "low-temperature" TiNiSi-type orthorhombic phase,compressive ductility,EXP,None,298.0,23.5,None,%,F14b,10.1016/j.jallcom.2023.171483
None,Co17.33 Cr17.33 Ni47.33 Al18,B2+L12,AAM+DC,eutectic; lamellar structure in as-cast state,tensile yield stress,EXP,None,298.0,708000000.0,None,Pa,None,10.20517/microstructures.2022.40
None,Co17 Cr17 Ni47 Al19,B2+L12,AAM+DC,eutectic; lamellar structure in as-cast state,tensile yield stress,EXP,None,298.0,734000000.0,None,Pa,None,10.20517/microstructures.2022.40
None,Co17.33 Cr17.33 Ni47.33 Al18,B2+L12,AAM+DC,eutectic; lamellar structure in as-cast state,UTS,EXP,None,298.0,1179000000.0,None,Pa,None,10.20517/microstructures.2022.40
None,Co17 Cr17 Ni47 Al19,B2+L12,AAM+DC,eutectic; lamellar structure in as-cast state,UTS,EXP,None,298.0,1219000000.0,None,Pa,None,10.20517/microstructures.2022.40
None,Co17.33 Cr17.33 Ni47.33 Al18,B2+L12,AAM+DC,eutectic; lamellar structure in as-cast state,tensile ductility,EXP,None,298.0,10.0,None,%,None,10.20517/microstructures.2022.40
None,Co17 Cr17 Ni47 Al19,B2+L12,AAM+DC,eutectic; lamellar structure in as-cast state,tensile ductility,EXP,None,298.0,9.0,None,%,None,10.20517/microstructures.2022.40
None,Co20 Cr20 Ni50 Al10,FCC,AC,None,tensile yield stress,EXP,None,298.0,356000000.0,None,Pa,None,10.20517/microstructures.2022.40
None,Co20 Cr20 Ni50 Al10,FCC,AC,None,UTS,EXP,None,298.0,536000000.0,None,Pa,None,10.20517/microstructures.2022.40
None,Co20 Cr20 Ni50 Al10,FCC,AC,None,tensile ductility,EXP,None,298.0,29.1,None,%,None,10.20517/microstructures.2022.40
None,CoCrFeNiTa0.1,FCC+C14,VAM,None,hardness,EXP,None,298.0,1765260000.0,None,Pa,T2,10.1016/j.matchemphys.2017.05.056
None,CoCrFeNi,FCC,VAM,None,minimum compressive plastic strain,EXP,None,298.0,50.0,None,%,F6,10.1016/j.matchemphys.2017.05.056
None,CoCrFeNiTa0.1,FCC+C14,VAM,None,minimum compressive plastic strain,EXP,None,298.0,50.0,None,%,F6,10.1016/j.matchemphys.2017.05.056
None,CoCrFeNiTa0.2,FCC+C14,VAM,None,minimum compressive plastic strain,EXP,None,298.0,50.0,None,%,F6,10.1016/j.matchemphys.2017.05.056
None,CoCrFeNi,FCC,VAM,None,minimum compressive ductility,EXP,None,298.0,47.9343220339,None,%,F6,10.1016/j.matchemphys.2017.05.056
None,CoCrFeNiTa0.1,FCC+C14,VAM,None,minimum compressive ductility,EXP,None,298.0,48.6758474576,None,%,F6,10.1016/j.matchemphys.2017.05.056
None,CoCrFeNiTa0.2,FCC+C14,VAM,None,minimum compressive ductility,EXP,None,298.0,50.0,None,%,F6,10.1016/j.matchemphys.2017.05.056
None,CoCrFeNiTa0.3,FCC+C14,VAM,None,compressive ductility,EXP,None,298.0,36.4936440678,None,%,F6,10.1016/j.matchemphys.2017.05.056
None,CoCrFeNiTa0.4,FCC+C14,VAM,None,compressive ductility,EXP,None,298.0,28.6016949153,None,%,F6,10.1016/j.matchemphys.2017.05.056
None,CoCrFeNiTa0.5,FCC+C14,VAM,None,compressive ductility,EXP,None,298.0,26.3241525424,None,%,F6,10.1016/j.matchemphys.2017.05.056
None,CoCrFeNiTa0.75,FCC+C14,VAM,None,compressive ductility,EXP,None,298.0,11.8644067797,None,%,F6,10.1016/j.matchemphys.2017.05.056
None,CoCrFeNi,FCC,VAM,None,minimum UCS,EXP,None,298.0,1500000000.0,None,Pa,F6,10.1016/j.matchemphys.2017.05.056
None,CoCrFeNiTa0.1,FCC+C14,VAM,None,minimum UCS,EXP,None,298.0,2012000000.0,None,Pa,F6,10.1016/j.matchemphys.2017.05.056
None,CoCrFeNiTa0.2,FCC+C14,VAM,None,minimum UCS,EXP,None,298.0,2453000000.0,None,Pa,F6,10.1016/j.matchemphys.2017.05.056
None,TiNbTaZr ,BCC,AAM,high quality AAM with 10 times 180s melting events,None,None,None,None,None,None,None,F3,10.3390/e21050483 
None,TiNbTaZrV,BCC,AAM,high quality AAM with 10 times 180s melting events,None,None,None,None,None,None,None,F3,10.3390/e21050483 
None,TiNbTaZrMo ,BCC+BCC,AAM,high quality AAM with 10 times 180s melting events,None,None,None,None,None,None,None,F3,10.3390/e21050483 
None,TiNbTaZrW,BCC+BCC,AAM,high quality AAM with 10 times 180s melting events,None,None,None,None,None,None,None,F3,10.3390/e21050483 
None,TiNbTaZr ,BCC,AAM+CCLM(LM),high quality AAM with 10 times 180s melting events; cold crucible levitation melted (CCLM) ingots with superior homogenity,None,None,None,None,None,None,None,F7,10.3390/e21050483 
None,TiNbTaZrV,BCC,AAM+CCLM(LM),high quality AAM with 10 times 180s melting events; cold crucible levitation melted (CCLM) ingots with superior homogenity,None,None,None,None,None,None,None,F7,10.3390/e21050483 
None,TiNbTaZrMo ,BCC,AAM+CCLM(LM),high quality AAM with 10 times 180s melting events; cold crucible levitation melted (CCLM) ingots with superior homogenity,None,None,None,None,None,None,None,F7,10.3390/e21050483 
None,TiNbTaZrW,BCC+BCC,AAM+CCLM(LM),high quality AAM with 10 times 180s melting events; cold crucible levitation melted (CCLM) ingots with superior homogenity,None,None,None,None,None,None,None,F7,10.3390/e21050483 
Hypo-HEA,Co26.6 Fe18.7 Ni23.3 Cr19.8 Ta9.3 Al2.3,FCC+laves,LPBF,hypoeutectic; 10um grain size,hardness,EXP,None,298.0,4776009000.0,176526000.0,Pa,P4,10.1002/advs.202401559
E-HEA,Co26.1 Fe18.3 Ni22.9 Cr19.4 Ta9.1 Al4.2,FCC+laves,LPBF,eutectic; 15um grain size,hardness,EXP,None,298.0,5511534000.0,196140000.0,Pa,P4,10.1002/advs.202401559
Hyper-HEA,Co25.6 Fe17.9 Ni22.4 Cr19.1 Ta8.9 Al6.1,FCC+laves,LPBF,hypereutectic; 18um grain size,hardness,EXP,None,298.0,6619725000.0,460929000.0,Pa,P4,10.1002/advs.202401559
None,(Fe0.3Co0.5Ni0.2)100,FCC,VAM,None,coercivity,EXP,None,298.0,887.9,None,A/m,T1,10.3390/met9030382
None,(Fe0.3Co0.5Ni0.2)95 (Al0.333 Si0.666)5,FCC,VAM,None,coercivity,EXP,None,298.0,1158.4,None,A/m,T1,10.3390/met9030382
None,(Fe0.3Co0.5Ni0.2)90 (Al0.333 Si0.666)10,FCC,VAM,None,coercivity,EXP,None,298.0,1194.3,None,A/m,T1,10.3390/met9030382
None,(Fe0.3Co0.5Ni0.2)85 (Al0.333 Si0.666)15,FCC+BCC,VAM,None,coercivity,EXP,None,298.0,921.3,None,A/m,T1,10.3390/met9030382
None,(Fe0.3Co0.5Ni0.2)75 (Al0.333 Si0.666)25,BCC,VAM,None,coercivity,EXP,None,298.0,990.5,None,A/m,T1,10.3390/met9030382
None,(Fe0.3Co0.5Ni0.2)100,FCC,VAM,None,saturation magnetization,EXP,None,298.0,168.1,None,Am^2/kg,T1,10.3390/met9030382
None,(Fe0.3Co0.5Ni0.2)95 (Al0.333 Si0.666)5,FCC,VAM,None,saturation magnetization,EXP,None,298.0,153.5,None,Am^2/kg,T1,10.3390/met9030382
None,(Fe0.3Co0.5Ni0.2)90 (Al0.333 Si0.666)10,FCC,VAM,None,saturation magnetization,EXP,None,298.0,131.0,None,Am^2/kg,T1,10.3390/met9030382
None,(Fe0.3Co0.5Ni0.2)85 (Al0.333 Si0.666)15,FCC+BCC,VAM,None,saturation magnetization,EXP,None,298.0,117.1,None,Am^2/kg,T1,10.3390/met9030382
None,(Fe0.3Co0.5Ni0.2)75 (Al0.333 Si0.666)25,BCC,VAM,None,saturation magnetization,EXP,None,298.0,116.5,None,Am^2/kg,T1,10.3390/met9030382
None,(Fe0.3Co0.5Ni0.2)100,FCC,VAM+LM,None,compressive yield stress,EXP,1e-3 strain rate,298.0,96000000.0,None,Pa,T1,10.3390/met9030382
None,(Fe0.3Co0.5Ni0.2)95 (Al0.333 Si0.666)5,FCC,VAM+LM,None,compressive yield stress,EXP,1e-3 strain rate,298.0,122000000.0,None,Pa,T1,10.3390/met9030382
None,(Fe0.3Co0.5Ni0.2)90 (Al0.333 Si0.666)10,FCC,VAM+LM,None,compressive yield stress,EXP,1e-3 strain rate,298.0,116000000.0,None,Pa,T1,10.3390/met9030382
None,(Fe0.3Co0.5Ni0.2)85 (Al0.333 Si0.666)15,FCC+BCC,VAM+LM,None,compressive yield stress,EXP,1e-3 strain rate,298.0,243000000.0,None,Pa,T1,10.3390/met9030382
None,(Fe0.3Co0.5Ni0.2)75 (Al0.333 Si0.666)25,BCC,VAM+LM,None,compressive yield stress,EXP,1e-3 strain rate,298.0,1445000000.0,None,Pa,T1,10.3390/met9030382
None,(Fe0.3Co0.5Ni0.2)100,FCC,VAM+LM,None,minimum UCS,EXP,1e-3 strain rate,298.0,506000000.0,None,Pa,T1,10.3390/met9030382
None,(Fe0.3Co0.5Ni0.2)95 (Al0.333 Si0.666)5,FCC,VAM+LM,None,minimum UCS,EXP,1e-3 strain rate,298.0,423000000.0,None,Pa,T1,10.3390/met9030382
